ID,Severity,Category,Issue,Phase,Required Action,Status
P28-PKG-001,P0,P28 evidence/package failure,Package/archive sidecar current_run was P27 while P28 docs existed,Phase 00-03,Set P29 current-run identity everywhere and add run-identity assertion,superseded
P28-PKG-002,P0,P28 evidence/package failure,P28 docs/handoffs/scripts were archived as stale current-run artifacts,Phase 02,Fix codex archive classifier and assert no current-run artifact is archived,superseded
P28-PKG-003,P0,P28 evidence/package failure,scripts/verify_current.sh delegated to missing p28_verify.sh in extracted package,Phase 02,"Ensure p29_verify.sh is active, included, executable, and delegated",superseded
P28-PKG-004,P0,P28 evidence/package failure,P28 evidence manifest referenced missing handoff/docs/target logs,Phase 03,Manifest paths must resolve in package or be explicitly external/degraded,superseded
P28-PKG-005,P0,P28 evidence/package failure,Package validation passed despite broken extracted-package verifier,Phase 03,Add extracted-package self-replay as mandatory final gate,superseded
P28-PKG-006,P1,P28 evidence/package failure,Manual phase-gate injections absent during P28,All,Add only high-risk manual injection gates,superseded
P28-PKG-007,P1,P28 evidence/package failure,P28 implementation progress was useful but release claim contaminated,Phase 01,"Treat P28 as implementation candidate, not final release",superseded
BUG-001,Critical,HNSW integrity/concurrency,"`flush_hnsw` holds read lock, then acquires write lock in same call path without releasing",Phase 05,Fix or quarantine with evidence and tests,superseded
BUG-002,Critical,HNSW integrity/concurrency,"HNSW `search()` re-acquires `deleted_ids` after dropping it, races with concurrent deletes",Phase 05,Fix or quarantine with evidence and tests,superseded
BUG-003,Critical,HNSW integrity/concurrency,"`insert_with_id()` inserts the `(key, id)` mapping into `key_to_id`/`id_to_key` *before* inserting into the graph",Phase 05,Fix or quarantine with evidence and tests,superseded
BUG-004,Critical,HNSW integrity/concurrency,`load_keymap()` does not validate that loaded `node_id` values are in-bounds for the HNSW graph,Phase 05,Fix or quarantine with evidence and tests,superseded
BUG-005,Critical,HNSW integrity/concurrency,`HnswIndex::load()` ignores the `.hnsw.graph` file entirely during replay,Phase 05,Fix or quarantine with evidence and tests,superseded
