name,count,kinds,files
new,90,fn,AiDENs/crates/aidens-tool-kit/src/lib.rs;AiDENs/crates/aidens-tool-kit/src/lib.rs;AiDENs/crates/aidens-runner/src/lib.rs;AiDENs/crates/aidens-runner/src/lib.rs;AiDENs/crates/aidens-receipts/src/lib.rs;AiDENs/crates/aidens-provider-kit/src/lib.rs;AiDENs/crates/aidens-provider-kit/src/lib.rs;AiDENs/crates/aidens-provider-kit/src/lib.rs;AiDENs/crates/aidens-provider-kit/src/lib.rs;AiDENs/crates/aidens-provider-kit/src/lib.rs;AiDENs/crates/aidens-permit-kit/src/lib.rs;AiDENs/crates/aidens-memory-kit/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs
denied,5,fn,AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs
open,4,fn,AiDENs/crates/aidens-receipts/src/lib.rs;AiDENs/crates/aidens-queue-kit/src/lib.rs;AiDENs/crates/aidens-memory-kit/src/lib.rs;AiDENs/crates/aidens-daemon-kit/src/lib.rs
blocked,4,fn,AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs
blocks_completion,4,fn,AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs;AiDENs/crates/aidens-contracts/src/lib.rs
tool_ids,3,fn,AiDENs/crates/aidens-tool-kit/src/lib.rs;AiDENs/crates/aidens-runner/src/lib.rs;AiDENs/crates/aidens-app-kit/src/lib.rs
executable_tool_ids,3,fn,AiDENs/crates/aidens-tool-kit/src/lib.rs;AiDENs/crates/aidens-runner/src/lib.rs;AiDENs/crates/aidens-app-kit/src/lib.rs
is_empty,3,fn,AiDENs/crates/aidens-tool-kit/src/lib.rs;AiDENs/crates/aidens-runner/src/lib.rs;AiDENs/crates/aidens-config/src/lib.rs
run,3,fn,AiDENs/crates/aidens-runner/src/lib.rs;AiDENs/crates/aidens-cli/src/lib.rs;AiDENs/crates/aidens-app-kit/src/lib.rs
tools,3,fn,AiDENs/crates/aidens-runner/src/lib.rs;AiDENs/crates/aidens-app-kit/src/lib.rs;AiDENs/crates/aidens-app-kit/src/lib.rs
