id,lane,priority,wave,agent,status,title,finding,why_it_matters,evidence,spec_anchors,required_changes,acceptance,proof,touches
CCS-001,current-live-blocker,P0,W1,constitutional-gate,open,Replace advisory allow/deny booleans with a sealed execution capability,"Execution authorization is represented as serializable booleans and a conventional `if` branch rather than a required capability. `EffectPreflightReportV1` exposes `blocked/advisory_only/commit_eligible`, `EffectCommitDecisionV1` exposes `commit_authorized`, `verification-policy` exposes `PolicyDecision::allows_execution() -> bool`, and `forge-pilot` branches on that boolean before calling execution.","This is policy by convention. A downstream caller can bypass the branch and still reach effectful code. The spec requires hard gates, not strongly-worded JSON.","effect-runtime/src/effect.rs; verification-policy/src/lib.rs:272; forge-pilot/src/loop_runner.rs:440,540,705; llm-tool-runtime/src/contracts.rs","V6 §2.8; V9 §5 and §11; V11 §8; ENDSTATE §8, §10, §17",Introduce a sealed runtime-only `CommitToken` / `ExecutionPermit` minted only after policy + approval + verification-plan checks. All effectful execution APIs must require that token. Artifacts remain serializable receipts; the token is the runtime enforcement object.,"No effectful path can be invoked with only booleans or raw strings. `rg -n ""CommitToken|ExecutionPermit|ApprovalGrant"" verification-policy llm-tool-runtime forge-pilot effect-runtime` returns owned types and use-sites; direct execute signatures without a permit are gone.","rg -n ""allows_execution\(|commit_authorized|approval_token"" effect-runtime verification-policy llm-tool-runtime forge-pilot && cargo test -p llm-tool-runtime -p forge-pilot",verification-policy/src/lib.rs; verification-policy/src/permit.rs (new); llm-tool-runtime/src/contracts.rs; llm-tool-runtime/src/runtime.rs; forge-pilot/src/loop_runner.rs; forge-pilot/src/act.rs; effect-runtime/src/effect.rs; stack-ids/src/ids.rs
CCS-002,current-live-blocker,P0,W1,constitutional-gate,open,Replace `ToolCtx.approval_token: Option<String>` with a typed constitutional grant,"`llm-tool-runtime` already has decent enum discipline, but the actual approval carrier is still `Option<String>`. That means the critical approval path is stringly and forgeable by construction.","A free-form approval token undercuts the very enforcement point that should be strongest. It must be tied to scope, effect class, constitution citation, expiry, and decision lineage.","llm-tool-runtime/src/contracts.rs:262-291; llm-tool-runtime/src/runtime.rs:33-45; llm-tool-runtime/src/starter_tools.rs:401,493-514",V9 §5 execution evidence; V11 §8 proof-governed promotion; V16 §8 budget/disclosure/suspension; ENDSTATE §8 and §10,"Define a typed `ApprovalGrant` or reuse the `CommitToken` family. Carry scope, effect/action class, approver lineage, expiry, decision id, and constitution citation. Read-only fast paths may remain tokenless only if the tool descriptor is provably read-only and non-promoting.",`ToolCtx` no longer contains `approval_token: Option<String>`. Approval evaluation accepts a typed grant. Destructive tools cannot be invoked with raw strings.,"rg -n ""approval_token: Option<String>"" llm-tool-runtime/src && cargo test -p llm-tool-runtime",llm-tool-runtime/src/contracts.rs; llm-tool-runtime/src/runtime.rs; llm-tool-runtime/src/starter_tools.rs; forge-pilot/src/act.rs; verification-policy/src/lib.rs
CCS-003,current-live-blocker,P0,W2,vocabulary-schema,open,Eliminate stringly typed controlled vocabularies from governance and control surfaces,"Controlled vocabulary fields are still plain `String` across the most constitutional crates. Examples include `effect_class`, `target_surface`, `blast_radius_ceiling`, `decision_state`, `execution_state`, `severity`, `publication_status`, `scope`, and similar fields across effect/policy/control/assurance/authority/continuity surfaces.","Schemas will accept nonsense, exhaustive matching is impossible, and semantic drift becomes invisible at compile time. This is the opposite of constitutional enforcement.","effect-runtime has 53 String fields and 0 enums; assurance-runtime 94/0; authority-delegation 69/0; continuity-runtime 80/0; remote-oracle-admission 32/0; verification-policy 84 String fields. See `effect-runtime/src/effect.rs`, `effect-runtime/src/observation.rs`, `assurance-runtime/src/*.rs`, `authority-delegation/src/*.rs`, `continuity-runtime/src/*.rs`, `verification-policy/src/lib.rs`.","V6 §2.8 and matrix law; V11 §3, §4, §6, §8; ENDSTATE §5, §7, §17",Replace controlled vocabulary strings with enums in owner crates. Add serde-stable `snake_case` wire names. Introduce a repo lint that forbids new `String`-typed controlled vocab fields without an explicit allowlist annotation or script allowlist.,All controlled vocab fields are enum-backed or explicitly allowlisted as free text. `scripts/check_constitutional_vocab.py` passes and CI runs it.,"rg -n ""pub .*: String,"" effect-runtime assurance-runtime authority-delegation continuity-runtime remote-oracle-admission verification-policy verification-control verification-adjudication && python3 scripts/check_constitutional_vocab.py",effect-runtime/src/*.rs; assurance-runtime/src/*.rs; authority-delegation/src/*.rs; continuity-runtime/src/*.rs; remote-oracle-admission/src/*.rs; verification-policy/src/lib.rs; verification-control/src/lib.rs; verification-adjudication/src/lib.rs; contract-schema-gen/src/lib.rs; scripts/check_constitutional_vocab.py (new)
CCS-004,current-live-blocker,P0,W2,vocabulary-schema,open,Add builders and `validate()` invariants to effect and governance artifact families,"Several constitutional crates are pure type surfaces with effectively no public constructors, validators, or invariant checks. `effect-runtime`, `assurance-runtime`, `attestation-exchange`, `authority-delegation`, `continuity-runtime`, and `remote-oracle-admission` are dominated by struct definitions.","Schema conformance is not semantic conformance. Without owner-side builders and `validate()` methods, impossible states remain easy to construct.","`rg -n ""pub fn|impl "" effect-runtime/src assurance-runtime/src authority-delegation/src continuity-runtime/src remote-oracle-admission/src` returns effectively no owner-side behavior. `effect-runtime` has 0 pub fns.",V9 §11 schema governance and reference-interpreter law; V11 §5 reference interpreters and semantic conformance; ENDSTATE §17.1-17.2,"For each owner crate, add `validate()` plus builders that enforce mandatory citations, obligation refs, advisory rules, decision/receipt chain integrity, and cross-field invariants. Generate fixtures from builders, not handwritten JSON only.",Every constitutional artifact family has owner-side validation. Handwritten impossible states fail validation. Cross-crate fixtures round-trip through builders and validators.,"rg -n ""fn validate\(|impl .*Builder|new\("" effect-runtime assurance-runtime authority-delegation continuity-runtime remote-oracle-admission attestation-exchange && cargo test -p effect-runtime -p assurance-runtime -p authority-delegation -p continuity-runtime",effect-runtime/src/*.rs; assurance-runtime/src/*.rs; attestation-exchange/src/lib.rs; authority-delegation/src/*.rs; continuity-runtime/src/*.rs; remote-oracle-admission/src/*.rs; tests/fixtures in corresponding crates
CCS-005,current-live-blocker,P0,W3,proof-conformance,open,Implement reference interpreters for hard semantic seams and wire differential conformance,"The repo has real artifact families and some strong bridge tests, but the hard seams are still not formally owned as reference interpreters: execution admissibility, widening/degradation semantics, minimal-change repair, and effect decision chain validity.","Without reference interpreters, semantics can drift while schemas stay green. Bridge atomicity is partly enforced already; the rest of the hard seams need the same treatment.","Bridge tests already reject missing `episode_id` for canonical bundle-bearing exports (`forge-memory-bridge/src/transform.rs` and tests). Comparable reference modules are missing for execution admissibility, widening, and repair. The current `conformance/` tree holds manifests/README surfaces but not a unified hard-seam refint harness.",V9 §11; V11 §5.1-5.4; V12 §5-§7; ENDSTATE §17,"Add explicit reference-interpreter modules for: (a) preflight→commit→execution admissibility, (b) widening/degradation outcome classification, (c) minimal-change repair selection, (d) import atomicity / episode bundle requirements. Wire them into `kernel-conformance` and `conformance/*` differential tests.","Every hard seam has a reference implementation, golden fixtures, and production-vs-refint differential tests. Semantic drift budget is explicit and gated.","rg -n ""refint|reference interpreter|differential"" kernel-conformance conformance verification-policy verification-adjudication knowledge-runtime forge-memory-bridge && cargo test -p kernel-conformance -p verification-policy -p forge-memory-bridge",kernel-conformance/src or tests; conformance/*; verification-policy/src/*; knowledge-runtime/src/*; verification-adjudication/src/*; forge-memory-bridge/src/*
CCS-006,current-live-blocker,P0,W3,release-hardening,open,Promote constitutional lints and proof checks into the front-door gate and CI,"The repo has `make gate` and CI, but the gate set does not yet encode the new constitutional invariants: no raw approval strings, no direct execute without permit, no uncontrolled controlled-vocabulary Strings, mandatory verification plans for promotable/risk-bearing outputs, and mandatory episode/execution-context refs on eligible paths.","If the gates do not enforce the constitution, the constitution is advisory paperwork.","Makefile and `.github/workflows/ci.yml` exist, but there is no evidence of scripts for constitutional vocab lint, permit enforcement, mandatory verification plan checks, or no-direct-execute rules.",V6 crate/plane implications; V11 §12 release bar; ENDSTATE §17.3-17.4,"Add repo scripts for permit enforcement, vocab lint, mandatory artifact refs, and endstate-family coverage claims. Wire them into `make gate` and CI before any green claim.","`make gate` and CI fail on raw approval strings, direct effect execution without a permit, missing verification plans, or uncontrolled vocabulary strings.","sed -n '1,220p' Makefile && sed -n '1,220p' .github/workflows/ci.yml && python3 scripts/check_constitutional_vocab.py && python3 scripts/check_commit_permit_paths.py",Makefile; .github/workflows/ci.yml; scripts/run_release_gates.py; scripts/check_constitutional_vocab.py (new); scripts/check_commit_permit_paths.py (new); scripts/check_mandatory_artifact_refs.py (new)
CCS-007,current-live-hardening,P1,W4,surface-rationalization,open,Rationalize crate names so ‘runtime’ means runtime and ‘surface’ means typed contract surface,"Several crates now explicitly describe themselves as typed surface crates rather than runtimes, but their package names still advertise runtime behavior: `assurance-runtime`, `continuity-runtime`, `remote-oracle-admission`, `spec-execution`, and others.",This confuses reviewers and encourages over-claiming. A constitutional stack must be truthful at the package boundary.,README/lib headers in these crates say ‘typed ... surface crate’ while package names still say runtime/execution/admission.,V6 authority map; V11 §11 crate and plane implications; ENDSTATE §16 crate responsibility map,"Either rename the crates/packages to `*-surface` / `*-contracts`, or keep the compatibility names but add front-door documentation and package metadata that unambiguously states they are bounded surface crates. Do not leave ambiguous names.","A new reader can tell from Cargo metadata and README whether a crate is a runtime, a surface crate, or a helper evaluator.","rg -n ""typed .* surface crate|not a .* runtime|compatibility name"" assurance-runtime attestation-exchange continuity-runtime remote-oracle-admission spec-execution federated-settlement mechanism-runtime",Cargo.toml files; crate READMEs/lib.rs docs; PACK_README/README surfaces
CCS-008,current-live-hardening,P1,W4,surface-rationalization,open,Remove or archive scaffolds that shadow production crate names,The repo carries 17 scaffold directories that duplicate production crate names. Auditors can easily read the wrong implementation surface.,Shadow copies corrode trust and make evidence ambiguous.,"`scaffolds/` duplicates: attestation-exchange, constraint-compiler, contract-schema-gen, forge-memory-bridge, forge-pilot, kernel-conformance, kernel-execution, kernel-oracles, knowledge-runtime, llm-tool-runtime, remote-oracle-admission, semantic-memory, semantic-memory-forge, stack-ids, verification-adjudication, verification-control, verification-policy",V6 anti-shadow rule; ENDSTATE §2.13 no shadow databases and no shadow constitutions,"Move scaffolds out of the active repo surface (archive branch, separate repo, or docs archive) and make the production tree the only authoritative implementation surface.",No scaffold directory shadows a production crate name in the working tree.,find scaffolds -maxdepth 1 -mindepth 1 -type d,scaffolds/**; docs/archive/**; PACK_MANIFEST/README
CCS-009,current-live-hardening,P1,W4,surface-rationalization,open,Resolve the `living-memory` vs `forge-engine` naming split,"The path is `living-memory/living-memory`, the package name is `forge-engine`, and the README/lib docs say `forge-engine`.","A core crate should not present three names. It complicates audit, ownership, and release messaging.",living-memory/living-memory/Cargo.toml; living-memory/living-memory/README.md; living-memory/living-memory/src/lib.rs; living-memory/BUILD_SHEET.md,V11 §11.13; ENDSTATE §16,"Pick one externally visible name and use it consistently across path, Cargo package, README, and docs. If compatibility requires an alias, document it explicitly and briefly.",The crate has one canonical external name and one documented compatibility alias at most.,"rg -n ""forge-engine|living-memory"" living-memory",living-memory/**; workspace Cargo references; README/front-door docs
CCS-010,current-live-hardening,P1,W4,surface-rationalization,open,Split hotspot files in the operationally critical lane,"Review hotspots remain concentrated in large files: `profile-runtime/src/adapters.rs` (1775 LOC), `living-memory/living-memory/src/lab/evidence.rs` (1617), `semantic-memory/src/db.rs` (1608), `semantic-memory/src/lib.rs` (1599), `forge-pilot/src/main_support/mod.rs` (1591), `semantic-memory/src/search.rs` (1582), `semantic-memory-forge/src/envelope.rs` (1393), and `forge-pilot/src/loop_runner.rs` (1023).",These files sit on the constitutional path. Giant files hide defects and slow hostile review.,Current repo line scan over Rust sources.,V11 §12 release bar; ENDSTATE §17 required test tracks (maintainability is a precondition for reliable conformance),"Refactor by concern boundary, not by arbitrary slicing. Separate admission, execution, reporting, repair, and persistence seams into smaller modules with targeted tests.","No constitutional hotspot file exceeds the agreed LOC threshold (recommend 900 LOC hard cap, 700 soft cap) without an explicit waiver.",python3 scripts/check_hotspot_budgets.py,forge-pilot/src/main_support/mod.rs; forge-pilot/src/loop_runner.rs; profile-runtime/src/adapters.rs; semantic-memory/src/db.rs; semantic-memory/src/lib.rs; semantic-memory/src/search.rs; semantic-memory-forge/src/envelope.rs; living-memory/living-memory/src/lab/evidence.rs
