crate_name,libraries2_path,libraries_path_if_same_name,classification,default_action,gate,delete_libraries2_after,salvage_action_taken,canonical_destination,receipt
ai-batch-queue,Libraries2/AI-Batch-Queue/Cargo.toml,,unique_or_missing_from_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,promoted_pass_check_test,ai-batch-queue/Cargo.toml,path dependencies resolved to canonical Libraries owners; cargo receipts in docs/salvage/build_logs
(workspace),Libraries2/Cargo.toml,,workspace_root,do_not_copy_workspace_root,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,archived_only,_salvage_from_libraries2/Libraries2/Cargo.toml,workspace root copied only into salvage; not activated because source workspace has stale/missing members and absolute symlinks
comfyui-rs,Libraries2/ComfyUI-RS/Cargo.toml,,unique_or_missing_from_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,promoted_pass_check_test,comfyui-rs/Cargo.toml,path dependencies resolved to canonical Libraries owners; cargo receipts in docs/salvage/build_logs
llm-pipeline,Libraries2/LLM-Pipeline/Cargo.toml,,unique_or_missing_from_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,promoted_pass_check_test_after_api_drift_repair,llm-pipeline/Cargo.toml,path dependencies resolved to canonical Libraries owners; cargo receipts in docs/salvage/build_logs
ollama-vision,Libraries2/Ollama-Vision-RS/Cargo.toml,,unique_or_missing_from_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,promoted_pass_check_test_after_parser_path_repair,ollama-vision/Cargo.toml,path dependencies resolved to canonical Libraries owners; cargo receipts in docs/salvage/build_logs
tauri-queue,Libraries2/Tauri-Queue/Cargo.toml,,unique_or_missing_from_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,promoted_pass_check_test,tauri-queue/Cargo.toml,path dependencies resolved to canonical Libraries owners; cargo receipts in docs/salvage/build_logs
agent-graph,Libraries2/agent-graph/Cargo.toml,,unique_or_missing_from_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,promoted_pass_check_test,agent-graph/Cargo.toml,path dependencies resolved to canonical Libraries owners; cargo receipts in docs/salvage/build_logs
attestation-exchange,Libraries2/attestation-exchange/Cargo.toml,attestation-exchange/Cargo.toml,same_name_exists_in_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,same_name_archived_diff_no_overwrite,attestation-exchange/Cargo.toml,same-name canonical crate exists; source file paths all overlap canonical paths; diffs archived under docs/salvage/diff_*.patch
constraint-compiler,Libraries2/constraint-compiler/Cargo.toml,constraint-compiler/Cargo.toml,same_name_exists_in_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,same_name_archived_diff_no_overwrite,constraint-compiler/Cargo.toml,same-name canonical crate exists; source file paths all overlap canonical paths; diffs archived under docs/salvage/diff_*.patch
demo-tauri-libraries,Libraries2/demo-tauri-libraries/src-tauri/Cargo.toml,,unique_or_missing_from_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,archived_only_demo,_salvage_from_libraries2/Libraries2/demo-tauri-libraries/src-tauri/Cargo.toml,demo Tauri app retained in salvage; not promoted as canonical library crate
discovery-portfolio,Libraries2/discovery-portfolio/Cargo.toml,discovery-portfolio/Cargo.toml,same_name_exists_in_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,same_name_archived_diff_no_overwrite,discovery-portfolio/Cargo.toml,same-name canonical crate exists; source file paths all overlap canonical paths; diffs archived under docs/salvage/diff_*.patch
federated-settlement,Libraries2/federated-settlement/Cargo.toml,federated-settlement/Cargo.toml,same_name_exists_in_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,same_name_archived_diff_no_overwrite,federated-settlement/Cargo.toml,same-name canonical crate exists; source file paths all overlap canonical paths; diffs archived under docs/salvage/diff_*.patch
job-queue,Libraries2/job-queue/Cargo.toml,,unique_or_missing_from_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,promoted_pass_check_test,job-queue/Cargo.toml,path dependencies resolved to canonical Libraries owners; cargo receipts in docs/salvage/build_logs
llm-output-parser,Libraries2/llm-output-parser/Cargo.toml,,unique_or_missing_from_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,promoted_pass_check_test,llm-output-parser/Cargo.toml,path dependencies resolved to canonical Libraries owners; cargo receipts in docs/salvage/build_logs
profile-runtime,Libraries2/profile-runtime/Cargo.toml,profile-runtime/Cargo.toml,same_name_exists_in_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,same_name_archived_diff_no_overwrite,profile-runtime/Cargo.toml,same-name canonical crate exists; source file paths all overlap canonical paths; diffs archived under docs/salvage/diff_*.patch
remote-oracle-admission,Libraries2/remote-oracle-admission/Cargo.toml,remote-oracle-admission/Cargo.toml,same_name_exists_in_Libraries,diff_then_merge_into_Libraries,copy to Libraries/_salvage_from_libraries2/<crate>; diff against canonical; cargo check/test; promote only with receipt,all rows promoted/archived and no Coding/Libraries path refs remain,same_name_archived_diff_no_overwrite,remote-oracle-admission/Cargo.toml,same-name canonical crate exists; source file paths all overlap canonical paths; diffs archived under docs/salvage/diff_*.patch
