warning: profiles for the non root package will be ignored, specify profiles at the workspace root:
package:   /home/sikmindz/work/dr-libraries-20260902/quant-governor/Cargo.toml
workspace: /home/sikmindz/work/dr-libraries-20260902/Cargo.toml
 Downloading crates ...
  Downloaded adler2 v2.0.1
  Downloaded cfg_aliases v0.2.2
  Downloaded bitflags v2.13.1
  Downloaded cairo-rs v0.18.5
  Downloaded byteorder v1.5.0
  Downloaded block-buffer v0.10.4
  Downloaded cargo-platform v0.1.9
  Downloaded atk v0.18.2
  Downloaded cairo-sys-rs v0.18.2
  Downloaded bit-set v0.8.0
  Downloaded bs58 v0.5.1
  Downloaded autocfg v1.5.1
  Downloaded anstream v1.0.0
  Downloaded anstyle-parse v1.0.0
  Downloaded atk-sys v0.18.2
  Downloaded cc v1.4.4
  Downloaded alloc-no-stdlib v2.0.4
  Downloaded cfg-if v1.0.4
  Downloaded cargo_toml v0.22.3
  Downloaded async-trait v0.1.92
  Downloaded bincode v1.3.3
  Downloaded bytes v1.12.1
  Downloaded camino v1.2.5
  Downloaded approx v0.5.1
  Downloaded brotli-decompressor v5.0.3
  Downloaded anyhow v1.0.104
  Downloaded alloc-stdlib v0.2.4
  Downloaded cxx-build v1.0.199
  Downloaded allocator-api2 v0.2.21
  Downloaded anstyle-query v1.1.5
  Downloaded cargo_metadata v0.19.2
  Downloaded darling_macro v0.23.0
  Downloaded atomic-waker v1.1.2
  Downloaded ctor v0.8.0
  Downloaded bitflags v1.3.2
  Downloaded deranged v0.5.8
  Downloaded base64 v0.22.1
  Downloaded cfg-expr v0.15.8
  Downloaded constant_time_eq v0.4.2
  Downloaded crypto-common v0.1.7
  Downloaded ahash v0.8.12
  Downloaded blake3 v1.8.7
  Downloaded colorchoice v1.0.5
  Downloaded defmt v1.1.1
  Downloaded dtor-proc-macro v0.0.6
  Downloaded aho-corasick v1.1.5
  Downloaded arrayvec v0.7.8
  Downloaded anstyle v1.0.14
  Downloaded dirs v6.0.0
  Downloaded crossbeam-utils v0.8.22
  Downloaded cxxbridge-macro v1.0.199
  Downloaded crossbeam-epoch v0.9.20
  Downloaded dirs-sys v0.4.1
  Downloaded bit-vec v0.8.0
  Downloaded cxxbridge-flags v1.0.199
  Downloaded dunce v1.0.5
  Downloaded bytemuck_derive v1.12.0
  Downloaded crossbeam-deque v0.8.7
  Downloaded dyn-clone v1.0.20
  Downloaded clap_derive v4.6.4
  Downloaded cobs v0.3.0
  Downloaded defmt-parser v1.0.0
  Downloaded dirs v5.0.1
  Downloaded dpi v0.1.2
  Downloaded dtoa-short v0.3.5
  Downloaded cpufeatures v0.2.17
  Downloaded digest v0.10.7
  Downloaded dirs-sys v0.5.0
  Downloaded dlopen2_derive v0.4.3
  Downloaded dtoa v1.0.11
  Downloaded cpufeatures v0.3.0
  Downloaded clap v4.6.6
  Downloaded darling v0.23.0
  Downloaded darling_core v0.23.0
  Downloaded defmt-macros v1.1.1
  Downloaded data-encoding v2.11.0
  Downloaded dlopen2 v0.8.2
  Downloaded either v1.18.0
  Downloaded cfb v0.7.3
  Downloaded crc32fast v1.5.1
  Downloaded embed-resource v3.0.11
  Downloaded cssparser v0.36.0
  Downloaded ctor-proc-macro v0.0.7
  Downloaded dtor v0.3.0
  Downloaded bytemuck v1.25.2
  Downloaded chacha20 v0.10.1
  Downloaded cookie v0.18.2
  Downloaded codespan-reporting v0.13.1
  Downloaded crossbeam-channel v0.5.16
  Downloaded dbus v0.9.12
  Downloaded derive_more-impl v2.1.1
  Downloaded dom_query v0.27.0
  Downloaded chrono v0.4.45
  Downloaded clap_builder v4.6.6
  Downloaded cxx v1.0.199
  Downloaded brotli v8.0.4
  Downloaded displaydoc v0.2.7
  Downloaded clap_lex v1.1.0
  Downloaded cssparser-macros v0.6.1
  Downloaded derive_more v2.1.1
  Downloaded libm v0.2.16
  Downloaded litemap v0.8.3
  Downloaded lru v0.16.4
  Downloaded matrixmultiply v0.3.11
  Downloaded mime_guess v2.0.5
  Downloaded nalgebra v0.32.6
  Downloaded new_debug_unreachable v1.0.6
  Downloaded num-conv v0.2.2
  Downloaded once_cell v1.21.4
  Downloaded openssl-sys v0.9.117
  Downloaded parking_lot v0.12.5
  Downloaded percent-encoding v2.3.2
  Downloaded phf_generator v0.13.1
  Downloaded pkg-config v0.3.34
  Downloaded postcard v1.1.3
  Downloaded ppv-lite86 v0.2.21
  Downloaded proc-macro-error-attr v1.0.4
  Downloaded pyo3-build-config v0.29.2
  Downloaded quote v1.0.47
