id,pass,priority,title,crates,acceptance,proof
AIDENS-P00-01,P00,P0,"Update root README/status docs to reflect the 2026-04-26 snapshot, not 2026-04-25.","workspace root, scripts, docs, aidens-testkit","bash scripts/verify.sh exists and is referenced by README, AGENTS.md, and CI.; grep for stale 20260425 metrics either returns none or only explicit historical references.",tests + receipts + docs + command output
AIDENS-P00-02,P00,P0,Add scripts/verify.sh as the single pass gate that chains fmt/check/test/clippy plus local fake-ready checks.,"workspace root, scripts, docs, aidens-testkit","bash scripts/verify.sh exists and is referenced by README, AGENTS.md, and CI.; grep for stale 20260425 metrics either returns none or only explicit historical references.",tests + receipts + docs + command output
AIDENS-P00-03,P00,P0,Add scripts/assert_no_scaffold_promoted.sh that permits scaffold markers only in explicitly deferred crates and fails if doctor/README claims they are complete.,"workspace root, scripts, docs, aidens-testkit","bash scripts/verify.sh exists and is referenced by README, AGENTS.md, and CI.; grep for stale 20260425 metrics either returns none or only explicit historical references.",tests + receipts + docs + command output
AIDENS-P00-04,P00,P0,"Add a status file that lists every crate as implemented, partial, or scaffold-only with no ambiguous “healthy” wording.","workspace root, scripts, docs, aidens-testkit","bash scripts/verify.sh exists and is referenced by README, AGENTS.md, and CI.; grep for stale 20260425 metrics either returns none or only explicit historical references.",tests + receipts + docs + command output
AIDENS-P00-05,P00,P0,Make CI call the same script Codex uses locally.,"workspace root, scripts, docs, aidens-testkit","bash scripts/verify.sh exists and is referenced by README, AGENTS.md, and CI.; grep for stale 20260425 metrics either returns none or only explicit historical references.",tests + receipts + docs + command output
AIDENS-P01-01,P01,P0,Audit every public builder and CLI path for ignored inputs.,"aidens-app-kit, aidens-runner, aidens-cli, aidens-contracts",No public method accepts meaningful input and silently discards it.; from_plan cannot produce a disabled-provider runner when provider_required=true unless the plan explicitly selects disabled and returns a blocked run.,tests + receipts + docs + command output
AIDENS-P01-02,P01,P0,Make AiDENsApp::from_plan either require provider information in the plan or fail with an explicit provider-unbound error.,"aidens-app-kit, aidens-runner, aidens-cli, aidens-contracts",No public method accepts meaningful input and silently discards it.; from_plan cannot produce a disabled-provider runner when provider_required=true unless the plan explicitly selects disabled and returns a blocked run.,tests + receipts + docs + command output
AIDENS-P01-03,P01,P0,Ensure custom ToolRegistry passed to app builder is preserved and observable through inspect-tools/list-tools.,"aidens-app-kit, aidens-runner, aidens-cli, aidens-contracts",No public method accepts meaningful input and silently discards it.; from_plan cannot produce a disabled-provider runner when provider_required=true unless the plan explicitly selects disabled and returns a blocked run.,tests + receipts + docs + command output
AIDENS-P01-04,P01,P0,"Add plan-to-runner parity tests for provider, memory mode, receipt level, enabled tool bundles, and sandbox root.","aidens-app-kit, aidens-runner, aidens-cli, aidens-contracts",No public method accepts meaningful input and silently discards it.; from_plan cannot produce a disabled-provider runner when provider_required=true unless the plan explicitly selects disabled and returns a blocked run.,tests + receipts + docs + command output
AIDENS-P01-05,P01,P0,"Reject MemoryMode::Required until P09 lands, unless a concrete memory store is configured.","aidens-app-kit, aidens-runner, aidens-cli, aidens-contracts",No public method accepts meaningful input and silently discards it.; from_plan cannot produce a disabled-provider runner when provider_required=true unless the plan explicitly selects disabled and returns a blocked run.,tests + receipts + docs + command output
AIDENS-P02-01,P02,P0,Separate advertised capability from implemented capability: AdvertisedProviderCapabilityV1 vs ExecutableProviderCapabilityV1.,"aidens-provider-kit, aidens-contracts, aidens-cli, aidens-runner",provider-check never reports native_tool_loop=true for an unavailable or unsupported backend.; OpenAI/OpenRouter/Anthropic routes either execute real requests behind feature-gated clients or return provider-boundary-unavailable with native_tool_loop=false.,tests + receipts + docs + command output
AIDENS-P02-02,P02,P0,"Add a backend matrix for disabled, mock, ollama, openai-compatible, openai, openrouter, anthropic.","aidens-provider-kit, aidens-contracts, aidens-cli, aidens-runner",provider-check never reports native_tool_loop=true for an unavailable or unsupported backend.; OpenAI/OpenRouter/Anthropic routes either execute real requests behind feature-gated clients or return provider-boundary-unavailable with native_tool_loop=false.,tests + receipts + docs + command output
AIDENS-P02-03,P02,P0,Implement real OpenAI-compatible / OpenAI / OpenRouter / Anthropic HTTP boundaries or mark them unavailable without native route labels.,"aidens-provider-kit, aidens-contracts, aidens-cli, aidens-runner",provider-check never reports native_tool_loop=true for an unavailable or unsupported backend.; OpenAI/OpenRouter/Anthropic routes either execute real requests behind feature-gated clients or return provider-boundary-unavailable with native_tool_loop=false.,tests + receipts + docs + command output
AIDENS-P02-04,P02,P0,Route native_tool_loop=true only when a backend can actually send and receive tool calls in that provider dialect.,"aidens-provider-kit, aidens-contracts, aidens-cli, aidens-runner",provider-check never reports native_tool_loop=true for an unavailable or unsupported backend.; OpenAI/OpenRouter/Anthropic routes either execute real requests behind feature-gated clients or return provider-boundary-unavailable with native_tool_loop=false.,tests + receipts + docs + command output
AIDENS-P02-05,P02,P0,"Add provider certification fixtures for each provider kind covering configured, missing key, missing model, network failure, malformed response, and tool-loop unavailable.","aidens-provider-kit, aidens-contracts, aidens-cli, aidens-runner",provider-check never reports native_tool_loop=true for an unavailable or unsupported backend.; OpenAI/OpenRouter/Anthropic routes either execute real requests behind feature-gated clients or return provider-boundary-unavailable with native_tool_loop=false.,tests + receipts + docs + command output
AIDENS-P03-01,P03,P0,"Define TurnExecutorV1 and TurnModeV1: no-tools, native-tool-loop, parser-fallback, provider-unavailable, budget-exhausted.","aidens-runner, aidens-provider-kit, aidens-tool-kit, aidens-budget-kit, aidens-boundary-kit, aidens-receipts","A mock/provider fixture can request repo-read and receive the tool result before final answer.; Every tool call has a receipt linked to run_id, attempt_id, tool_id, input digest, output digest, and outcome.",tests + receipts + docs + command output
AIDENS-P03-02,P03,P0,Extend provider request/response contracts to carry provider_tool_schemas and provider-specific tool call outputs.,"aidens-runner, aidens-provider-kit, aidens-tool-kit, aidens-budget-kit, aidens-boundary-kit, aidens-receipts","A mock/provider fixture can request repo-read and receive the tool result before final answer.; Every tool call has a receipt linked to run_id, attempt_id, tool_id, input digest, output digest, and outcome.",tests + receipts + docs + command output
AIDENS-P03-03,P03,P0,Implement parser fallback using boundary compiler only as degraded path; it must never be reported as native.,"aidens-runner, aidens-provider-kit, aidens-tool-kit, aidens-budget-kit, aidens-boundary-kit, aidens-receipts","A mock/provider fixture can request repo-read and receive the tool result before final answer.; Every tool call has a receipt linked to run_id, attempt_id, tool_id, input digest, output digest, and outcome.",tests + receipts + docs + command output
AIDENS-P03-04,P03,P0,Call ToolDispatcher from the runner and append canonical ToolReceipt plus AiDENs ToolInvocationReportV1 to the run report chain.,"aidens-runner, aidens-provider-kit, aidens-tool-kit, aidens-budget-kit, aidens-boundary-kit, aidens-receipts","A mock/provider fixture can request repo-read and receive the tool result before final answer.; Every tool call has canonical receipt/report linkage to run_id, attempt_id, tool_id, input digest, output digest, and outcome.",tests + receipts + docs + command output
AIDENS-P03-05,P03,P0,"Enforce max_tool_calls, max_retries, timeout/deadline, and no-recursive-tool-loop stop rules.","aidens-runner, aidens-provider-kit, aidens-tool-kit, aidens-budget-kit, aidens-boundary-kit, aidens-receipts","A mock/provider fixture can request repo-read and receive the tool result before final answer.; Every tool call has a receipt linked to run_id, attempt_id, tool_id, input digest, output digest, and outcome.",tests + receipts + docs + command output
AIDENS-P04-01,P04,P0,"Normalize lifecycle states: declared, registered, executable, exposed_this_turn, invoked, succeeded, failed, blocked, hidden.","aidens-tool-kit, aidens-permit-kit, aidens-security-kit, aidens-contracts, aidens-cli","list-tools and inspect-tools distinguish declared, registered, executable, exposed, hidden, blocked.; Side-effect tools cannot be exposed or invoked without permit; denial includes ApprovalRequestV1 or reason code.",tests + receipts + docs + command output
AIDENS-P04-02,P04,P0,"Add exposure planner that consumes provider executable capability, permit policy, risk class, sandbox truth, and max tool limits.","aidens-tool-kit, aidens-permit-kit, aidens-security-kit, aidens-contracts, aidens-cli","list-tools and inspect-tools distinguish declared, registered, executable, exposed, hidden, blocked.; Side-effect tools cannot be exposed or invoked without permit; denial includes ApprovalRequestV1 or reason code.",tests + receipts + docs + command output
AIDENS-P04-03,P04,P0,"Implement approval request/decision ledger and CLI commands to inspect, approve, deny, and revoke permits.","aidens-tool-kit, aidens-permit-kit, aidens-security-kit, aidens-contracts, aidens-cli","list-tools and inspect-tools distinguish declared, registered, executable, exposed, hidden, blocked.; Side-effect tools cannot be exposed or invoked without permit; denial includes ApprovalRequestV1 or reason code.",tests + receipts + docs + command output
AIDENS-P04-04,P04,P0,"Ensure side-effect tool invocation without matching permit emits a receipt-bearing denial, not a raw error only.","aidens-tool-kit, aidens-permit-kit, aidens-security-kit, aidens-contracts, aidens-cli","list-tools and inspect-tools distinguish declared, registered, executable, exposed, hidden, blocked.; Side-effect tools cannot be exposed or invoked without permit; denial includes ApprovalRequestV1 or reason code.",tests + receipts + docs + command output
