family,version,rust_type,wire_type_name
api-honesty-receipt,1,ApiHonestyReportV1,ApiHonestyReportV1
approval-decision,1,ApprovalDecisionV1,ApprovalDecisionV1
approval-request,1,ApprovalRequestV1,ApprovalRequestV1
artifact-family-registry,1,ArtifactFamilyRegistryV1,ArtifactFamilyRegistryV1
backfill-receipt,1,BackfillReportV1,BackfillReportV1
boundary-compile-outcome,1,BoundaryCompileOutcomeV1,BoundaryCompileOutcomeV1
boundary-compile-request,1,BoundaryCompileRequestV1,BoundaryCompileRequestV1
budget-exhaustion-receipt,1,BudgetExhaustionReportV1,BudgetExhaustionReportV1
display-digest,1,DisplayDigestV1,DisplayDigestV1
capability-gate-decision,1,CapabilityGateDecisionV1,CapabilityGateDecisionV1
config-apply-receipt,1,ConfigApplyReportV1,ConfigApplyReportV1
codex-packet,1,CodexPacketV1,CodexPacketV1
command-run-receipt,1,CommandRunReportV1,CommandRunReportV1
completion-audit-report,1,CompletionAuditReportV1,CompletionAuditReportV1
example-app-manifest,1,ExampleAppManifestV1,ExampleAppManifestV1
duplicate-key-finding,1,DuplicateKeyFindingV1,DuplicateKeyFindingV1
cross-pass-traceability-matrix,1,CrossPassTraceabilityMatrixV1,CrossPassTraceabilityMatrixV1
fake-ready-finding,1,FakeReadyFindingV1,FakeReadyFindingV1
generated-schema-manifest,1,GeneratedSchemaManifestV1,GeneratedSchemaManifestV1
golden-fixture-manifest,1,GoldenFixtureManifestV1,GoldenFixtureManifestV1
install-smoke-report,1,InstallSmokeReportV1,InstallSmokeReportV1
known-limitations-register,1,KnownLimitationsRegisterV1,KnownLimitationsRegisterV1
job,1,JobV1,JobV1
queue-lease,1,QueueLeaseV1,QueueLeaseV1
daemon-namespace,1,DaemonNamespaceV1,DaemonNamespaceV1
duplicate-suppression-receipt,1,DuplicateSuppressionReportV1,DuplicateSuppressionReportV1
migration-plan,1,MigrationPlanV1,MigrationPlanV1
patch-apply-receipt,1,PatchApplyReportV1,PatchApplyReportV1
operator-status-report,1,OperatorStatusReportV1,OperatorStatusReportV1
patch-proposal,1,PatchProposalV1,PatchProposalV1
permit-grant,1,PermitGrantV1,PermitGrantV1
permit-use-receipt,1,PermitUseReportV1,PermitUseReportV1
plan-runtime-parity-report,1,PlanRuntimeParityReportV1,PlanRuntimeParityReportV1
queue-hop-receipt,1,QueueHopReportV1,QueueHopReportV1
provider-backend-matrix,1,ProviderBackendMatrixV1,ProviderBackendMatrixV1
provider-certification-fixture,1,ProviderCertificationFixtureV1,ProviderCertificationFixtureV1
provider-readiness-receipt,1,ProviderReadinessReportV1,ProviderReadinessReportV1
provider-route-receipt,2,ProviderRouteReportV2,ProviderRouteReportV2
release-readiness-report,1,ReleaseReadinessReportV1,ReleaseReadinessReportV1
release-artifact-manifest,1,ReleaseArtifactManifestV1,ReleaseArtifactManifestV1
regression-debt-ledger,1,RegressionDebtLedgerV1,RegressionDebtLedgerV1
repo-list-receipt,1,RepoListReportV1,RepoListReportV1
repo-read-receipt,1,RepoReadReportV1,RepoReadReportV1
run-receipt,1,RunReportV1,RunReportV1
scaffold-surface-report,1,ScaffoldSurfaceReportV1,ScaffoldSurfaceReportV1
schema-compatibility-report,1,SchemaCompatibilityReportV1,SchemaCompatibilityReportV1
sandbox-capability-truth,1,SandboxCapabilityTruthV1,SandboxCapabilityTruthV1
safe-mode-receipt,1,SafeModeReportV1,SafeModeReportV1
schedule-occurrence,1,ScheduleOccurrenceV1,ScheduleOccurrenceV1
source-basis-lock,1,SourceBasisLockV1,SourceBasisLockV1
super-pass-status,1,SuperPassStatusV1,SuperPassStatusV1
tool-call-request,1,ToolCallRequestV1,ToolCallRequestV1
tool-call-result,1,ToolCallResultV1,ToolCallResultV1
tool-exposure-plan,2,ToolExposurePlanV1,ToolExposurePlanV2
tool-invocation-receipt,1,ToolInvocationReportV1,ToolInvocationReportV1
turn-execution-plan,1,TurnExecutionPlanV1,TurnExecutionPlanV1
turn-receipt,1,TurnReportV1,TurnReportV1
wake-signal,1,WakeSignalV1,WakeSignalV1
