id,priority,title,phase,acceptance
P23-ZPY-001,P0,Package self-replay closure,01/03,Fresh extracted package passes included verifier or declares verifier excluded by role.
P23-ZPY-002,P0,Generic current-run logic,01,No P22-specific current-run allowlist remains; P23/P24 works by argument.
P23-ZPY-003,P0,Script ref strictness,01/03,Included scripts cannot reference excluded/missing local verifier dependencies.
P23-ZPY-004,P0,Legacy zip.py footgun removal,01,"zip.py absent, archived, or hard-failing wrapper."
P23-ZPY-005,P1,Package role separation,03,"release-context, next-codex-context/codex-run-full, audit-full roles tested or equivalent documented."
P23-HYG-001,P0,Pxx artifact classification registry,02,All P20/P21/P22 active artifacts classified or archived.
P23-CAP-001,P0,Receipt-bearing local agent run,04,Fixture-backed run produces run manifest and receipts.
P23-CAP-002,P1,Operator run inspect command,05,CLI or API inspects run directory and emits support-tier JSON.
P23-CAP-003,P1,Explicit degraded/unsupported provider behavior,04/05,Unsupported/cloud paths fail honestly with receipts/degradation fields.
P23-EVID-001,P0,Execution context in run reports,06,"Run outputs include provider/tool route, budget, permits, replay command, support tier."
P23-CI-001,P0,P23 verifier and CI gates,07,scripts/p23_verify.sh passes with P23_REQUIRE_CARGO=1.
