id,source,severity,phase,title,location,required_resolution,acceptance_signal
C01,Claude hard audit,P1,P28-03 Execution context and receipts,CommandRunReportV1::completed() uses two separate Utc::now() calls for started_at and completed_at,`aidens-contracts/src/lib.rs:2681`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C02,Claude hard audit,P1,P28-08 Tool/patch/sandbox hardening,repo_read does not re-check sandbox membership after canonicalize(),`tool-kit/src/lib.rs:1029`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker. Include hostile/symlink/sandbox regression where applicable.",cargo test + targeted regression + P28 evidence manifest entry
C03,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,"apply_single_replacement handles the ""removed is empty"" case incorrectly",`tool-kit/src/lib.rs:1648`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C04,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,normalize_diff_path strips only a single b/ prefix,`tool-kit/src/lib.rs:1635`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C05,Claude hard audit,P0,P28-02 Identity/digest/package truth,QueueLeaseV1::new() uses timestamp_nanos_opt().unwrap_or_default(),`aidens-contracts/src/lib.rs:2971`,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open.,cargo test + targeted regression + P28 evidence manifest entry
C06,Claude hard audit,P2,P28-01 Immediate bugfix and test coverage,PermitGrantV1::matches_scope() has inverted permit logic for expires_at,`aidens-contracts/src/lib.rs:1002`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C07,Claude hard audit,P0,P28-05 Package/boundary compiler hardening,safe_relative() in z.py has a silent fallback,`z.py:637`,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open. Include hostile/symlink/sandbox regression where applicable.,cargo test + targeted regression + P28 evidence manifest entry
C08,Claude hard audit,P1,P28-08 Tool/patch/sandbox hardening,repo_list truncates *after* sorting but *before* the receipt is emitted,`tool-kit/src/lib.rs:1107`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C09,Claude hard audit,P1,P28-08 Tool/patch/sandbox hardening,file_stat silently reads file content just to hash it,`tool-kit/src/lib.rs:1115`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C10,Claude hard audit,P2,P28-08 Tool/patch/sandbox hardening,collect_search_matches checks .git and target/ by string prefix on the *relative* path,`tool-kit/src/lib.rs:1543`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C11,Claude hard audit,P0,P28-01 Immediate bugfix and test coverage,AiDENsProfile::expand() panics on failure,`aidens-app-kit/src/lib.rs:118`,Must fix or explicitly quarantine before P28 final package; no support-tier uplift if open.,cargo test + targeted regression + P28 evidence manifest entry
C12,Claude hard audit,P1,P28-01 Immediate bugfix and test coverage,AiDENsAppPlanV1::validate() does not validate profile_id,`aidens-contracts/src/app_status.rs:462`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
C13,Claude hard audit,P1,P28-01 Immediate bugfix and test coverage,"AgentSpecV1::validate() uses ""repo.write"" in WRITE_TOOLS_REQUIRE_PERMIT",`aidens-contracts/src/lib.rs:1997`,"Fix code and add regression test; if not fixed, quarantine with proof debt and explicit release blocker.",cargo test + targeted regression + P28 evidence manifest entry
