Requirement,Phase,Evidence/Script
P29 identity agreement,00-03,assert_p29_run_identity.py
No P29 current-run archive drift,02,assert_p29_no_archived_current_run.py
Verifier included and delegated,03,assert_p29_final_package_contains_verifier.py
Manifest paths resolve,03,assert_p29_manifest_paths.py
HNSW critical fixes/quarantines,05,tests + quarantine docs
Migration atomicity,06,tests + assert_p29_migration_atomicity.py
Search ranking/dedup correctness,07,tests
v11A contracts,12,assert_p29_v11a_contracts.py
Receipt chain,12-14,assert_p29_receipt_chain.py
Boundary profiles,13,assert_p29_boundary_profiles.py
Proof debt/waiver law,13,assert_p29_proof_debt.py
v11B seed only,17-19,assert_p29_v11b_seed_surfaces.py
Package self-replay,21,assert_p29_package_self_replay.py
