phase,priority,stream,id,status,gate,title,why,depends_on,acceptance,required_proof,primary,notes
Phase 0 — release truth and front door,P0,Packaging truth,PACK-001,open,Ship blocker,Make the front door real: `make gate` must work from a clean checkout,The advertised front-door command fails immediately because `scripts/check_pack_truth.sh` requires a numbered pack that is not present at the repo root. That makes the release surface non-reproducible.,—,`bash scripts/check_pack_truth.sh` passes from a clean checkout and `make gate` reaches the intended cargo lane instead of dying in pack truth.,Passing `bash scripts/check_pack_truth.sh`; updated README / PACK_README / release checklist; no orphan front-door story.,scripts/check_pack_truth.sh + root pack docs,Do not keep two competing root pack conventions.
Phase 0 — release truth and front door,P0,Archive truth,PACK-002,open,Ship blocker,Fix the root archive manifest and the missing archived file count,`python3 scripts/check_root_archive_manifest.py` currently fails because `legacy_root_residue` is declared as 30 files while only 29 exist; the archived `04_MASTER_ISSUE_MATRIX.csv` is missing or the manifest is wrong.,PACK-001,`python3 scripts/check_root_archive_manifest.py` passes and the archive directory / manifest / active pack all agree.,Passing root archive manifest check; manifest diff; either restored file or corrected count with truthful rationale.,docs/archive/root_closeout_history/manifest.json + archived root residue,"This is a direct filesystem-vs-manifest contradiction, not an interpretation dispute."
Phase 0 — release truth and front door,P0,Status truth,PACK-003,open,Ship blocker,"Reconcile STATUS_DASHBOARD, evidence manifest, and closeout claims with current reality","The dashboard says the hardening gates are green, including root archive manifest, but the current repo state disproves that. Evidence files and front-door summaries have drifted apart.",PACK-002,"STATUS_DASHBOARD, STATUS_EVIDENCE_MANIFEST, and release receipt either all match the current state or explicitly declare a historical snapshot that is no longer reproducible from HEAD.",Human-readable diff plus passing spot-check commands mentioned in the dashboard.,"STATUS_DASHBOARD.md, STATUS_EVIDENCE_MANIFEST.json, release/closeout_receipt_v1.json",Stop claiming current green if the claim is only historically true.
Phase 0 — release truth and front door,P0,Canonical docs,SPEC-001,open,Ship blocker,Stop using root-level stub specs as if they are canonical law,"The root `CANONICAL_STACK_SPEC_V6.md` and `CANONICAL_STACK_SPEC_V7_RECURSIVE_INFERENCE_KERNEL.md` are 470- and 512-byte excerpts that only satisfy string-matching doc checks. That is governance theater, not spec publication.",PACK-001,"Either restore the real canonical documents at the root, or rename the stubs as excerpts / compatibility notes and update doc-truth to stop pretending they are canonical specs.","Updated files plus a strengthened `scripts/check_doc_truth.sh` that checks identity and purpose, not just string presence.","CANONICAL_STACK_SPEC_V6.md, CANONICAL_STACK_SPEC_V7_RECURSIVE_INFERENCE_KERNEL.md, scripts/check_doc_truth.sh",The current state incentivizes tiny compliant placeholders.
Phase 0 — release truth and front door,P0,Support lane,GATE-001,open,Ship blocker,"Make the support claim, workspace scope, and gate scope the same story","`SUPPORT_PROFILE.md` claims a 17-crate closeout lane, the workspace has 30 members / 29 default members, and `Makefile` runs `cargo test --workspace --exclude forge-engine`. Those are three different surfaces.",PACK-001,"One explicit release lane is named in `SUPPORT_PROFILE.md`, `Makefile`, the receipt, and the dashboard; cargo commands target that same lane; adjacent crates are clearly demoted to non-certified status.",One passing release command sequence plus receipt regeneration / support-profile hash update.,"SUPPORT_PROFILE.md, Cargo.toml, Makefile, release/closeout_receipt_v1.json, STATUS_DASHBOARD.md",A support claim that is narrower than the gate is how release truth rots.
Phase 0 — architecture truth,P0,Runtime provenance,RUNTIME-001,open,Correctness blocker,Propagate scheduler degradation reasons into runtime-facing artifacts,"`kernel_execution::ScheduledExecution` sets `degraded_reason` for real cases like `budget_exhausted` and `explicit_changed_nodes_required_for_delta`, but `knowledge-runtime` drops that reason in advisory/explanation/risk-gate outputs.",GATE-001,"InferenceAdvisory, InferenceExplanation, risk-gate outputs, and schema generation all surface the precise degradation reason and preserve it through query provenance.","New schema fields, runtime tests, and one cross-crate fixture proving the reason survives end-to-end.","kernel-execution/src/lib.rs, knowledge-runtime/src/inference.rs, knowledge-runtime/src/obs/trace.rs, contract-schema-gen/src/lib.rs",Right now the scheduler knows why it degraded and the user-facing runtime does not.
Phase 1 — artifact convergence,P1,Execution evidence,EXEC-001,open,Conformance blocker,"Finish execution-evidence convergence across llm-tool-runtime, forge-pilot, and verification crates","`ExecutionContextV1` and `EpisodeBundleV1` exist, but the control/orchestration/tool seams still look partly parallel rather than fully canonical. The stack is close; the danger is staying close forever.",RUNTIME-001,"Tool receipts, pilot loop artifacts, and verification/control artifacts all carry or strongly reference the same execution-evidence family with one schema owner and one taught mental model.","Schema registry entries, round-trip serde fixtures, and one cross-crate lineage fixture spanning tool runtime -> pilot -> verification/control.","semantic-memory-forge/src/v9.rs, llm-tool-runtime/src/contracts.rs, llm-tool-runtime/src/runtime.rs, forge-pilot/src/*, verification-*/src/*, contract-schema-gen/src/lib.rs",This is the difference between telemetry and admissible execution evidence.
Phase 1 — artifact convergence,P1,Shared primitives,TYPE-001,open,Cleanliness / drift blocker,Centralize duplicated `SurfaceStatus` into one canonical primitive,"`SurfaceStatus` is redefined in five crates (`spec-execution`, `mechanism-runtime`, `federated-settlement`, `discovery-portfolio`, `constitutional-memory`). That is textbook drift bait.",SPEC-001,One canonical shared definition exists in a primitive crate and all leaf crates reuse it.,Greppable removal of duplicate enum definitions; schema regen and compatibility proof.,stack-ids/src/* or another primitive crate; affected leaf crates,"This is small, obvious, and should already be done."
Phase 1 — credibility and naming,P1,Governance surface,NAME-001,open,Credibility blocker,Either deepen the thin governance “runtime” crates or rename them honestly,"Several governance leaf crates are still tiny schema carriers with runtime names (`mechanism-runtime`, `discovery-portfolio`, `constitutional-memory`, `federated-settlement`, `spec-execution`, and the small post-v20 surfaces). The names overpromise the behavior.",TYPE-001,"For each thin crate, either (a) add runtime logic that justifies the name, or (b) rename / reposition it as schema/types/profile surface in both Cargo metadata and docs.","Crate-by-crate decision table, updated README/Cargo descriptions, and no remaining misleading top-level crate names.",Affected crate Cargo.toml + README + src/lib.rs surfaces,DARPA-grade reviewers will open these crates. Pretending they will not is fantasy.
Phase 1 — docs and teachability,P1,API docs,DOC-001,open,Docs blocker,Document the governance/kernel crates that currently have near-zero API docs,"`forge-pilot`, `kernel-conformance`, `llm-tool-runtime`, `kernel-execution`, `contract-schema-gen`, and `kernel-oracles` have essentially no public API documentation despite carrying differentiating logic or interfaces.",NAME-001,"Public-item rustdoc coverage becomes intentional for the thin-doc crates, not just for the already-well-documented ones.",Expanded rustdoc counts plus passing public API docs check against the intended crate set.,"forge-pilot/src/**, kernel-conformance/src/**, llm-tool-runtime/src/**, kernel-execution/src/lib.rs, contract-schema-gen/src/**, kernel-oracles/src/lib.rs",Right now the repo documents the storage core far better than the governance edge it keeps selling.
