path,classification,reason
06_RISK_REGISTER.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
AGENTS.md,protected-functional,explicit protected root doc
AUDIT_2026-04-01.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
CLAUDE.md,protected-functional,explicit protected root doc
COMBINED_AUDIT_2026-04-01.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
CONFORMANCE_GATES.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
CONTRACT_AND_TEMPORAL_TRUTH_HARDENING.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
CRATE_HARDENING_MATRIX.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
EXECUTION_EVIDENCE_AND_REFERENCE_INTERPRETER_PLAN.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
HOSTILE_AUDIT_SYNTHESIS_V5.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
KERNEL_AND_REGION_RUNTIME_PLAN.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
LIBRARIES_MASTER_MATRIX_V8.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
LIBRARIES_PROMPT.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
LIB_MASTER_ISSUE_MATRIX.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
LIB_PROMPT.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
MASTER_ISSUE_MATRIX.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
MASTER_TENSOR.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
PROMPT.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
README.md,protected-functional,explicit protected root doc
RISK_REGISTER.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
SCOPE_NOTES.md,ambiguous-stop,root markdown not protected but no archive pattern match; stop for operator classification
SNAPSHOT_2026-04-11.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
SOURCE_BASIS.md,protected-functional,explicit protected root doc
STATUS_DASHBOARD.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
SUPPORT_PROFILE.md,protected-functional,explicit protected root doc
TEST_AND_CONFORMANCE_PLAN.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
V9_IMPLEMENTATION_PLAYBOOK.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
claude_hard_audit_2026-03-30.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
gpt54_hard_audit_2026-03-30.md,candidate-archive,root-level run/audit/spec/prompt/planning residue pattern
