id,priority,severity,category,path,line,title,evidence,impact,break_test,recommended_fix,confidence
AIDENS-HA-20260508-0001,P0,Critical,BUILD-CERTIFICATION,<audit environment>,,No cargo/rustc execution was possible in this audit environment,Running `cargo check --workspace --all-targets --locked` failed with `cargo: command not found`.,This package cannot be called build-certified from this audit. Any green status is source-certifier-only.,Run the full command bar in an environment with Rust installed and require machine-captured logs.,"Attach rust-toolchain.toml, cargo metadata, cargo check/test/clippy/fmt logs, and a signed gate receipt before claiming build health.",High
AIDENS-HA-20260508-0002,P0,Critical,PARSER-BOUNDARY,AiDENs/crates/aidens-runner/src/provider_tool.rs,133,Malformed tool-call entries are silently discarded,.filter_map(|call| {,filter_map returns None if tool_id is absent; no malformed-call receipt is emitted per dropped entry.,Send a tool_calls array with one valid call and one malformed dangerous call; ensure the malformed one appears in receipts.,"Replace filter_map with validated collection that records rejected call index, reason, raw digest, and blocking status.",High
AIDENS-HA-20260508-0003,P0,Critical,PARSER-BOUNDARY,AiDENs/crates/aidens-runner/src/provider_tool.rs,19,Tool-result serialization failure silently becomes an empty message,"content: serde_json::to_string(&request.tool_results).unwrap_or_default(),",serde_json::to_string(&request.tool_results).unwrap_or_default() can erase tool evidence in the provider prompt.,Inject a non-serializable or serialization-failing tool result type via test double and assert the request does not silently drop it.,Return a provider request construction error with an execution receipt; never substitute empty content.,High
AIDENS-HA-20260508-0004,P0,Critical,PARSER-BOUNDARY,AiDENs/crates/aidens-runner/src/provider_tool.rs,61,Successful parser repair drops degradation reason codes from returned result,"degradation_reason_codes: Vec::new(),",parse_parser_fallback_tool_calls builds reason_codes but returns degradation_reason_codes: Vec::new() after successful parse.,Parse a tool call requiring boundary repair and assert the final turn report contains parser fallback degradation; it likely does not.,Propagate parser-fallback and boundary-repair reason codes into turn reports and downstream receipts.,High
AIDENS-HA-20260508-0005,P0,Critical,PARSER-BOUNDARY,AiDENs/crates/aidens-runner/src/provider_tool.rs,88,Parser fallback uses permissive degraded JSON repair in the tool-call path,"parse_json_boundary(text, BoundaryRepairPolicyV1::permissive_degraded_repair())",Tool calls can be extracted from repaired JSON/markdown/substrings instead of strict provider-native calls.,Feed markdown-fenced malformed JSON with an extra trailing malicious object and verify exactly what gets executed.,Require strict mode for executable tool calls or make every repair path emit a blocking approval/degradation gate.,High
AIDENS-HA-20260508-0006,P0,Critical,PATCH-SAFETY,AiDENs/crates/aidens-tool-kit/src/lib.rs,1175,Patch apply treats unreadable/missing files as empty input,let before = std::fs::read_to_string(&path).unwrap_or_default();,std::fs::read_to_string(&path).unwrap_or_default() converts read failure into empty file content.,Try patching a missing file with replacement expecting empty input; observe whether it creates unintended new content.,Fail closed on read errors; distinguish create-file operation from replace-in-existing-file operation.,High
AIDENS-HA-20260508-0007,P0,Critical,PATCH-SAFETY,AiDENs/crates/aidens-tool-kit/src/lib.rs,1360,Rollback write errors are ignored,"let _ = write_file_atomically(path, before);",rollback_written_files discards write_file_atomically results.,Make rollback target read-only and verify the receipt reports rollback success/failure accurately.,Rollback must return structured rollback receipts and fail the patch operation if any restoration fails.,High
AIDENS-HA-20260508-0008,P0,Critical,REPLAY-IDENTITY,AiDENs/crates/aidens-contracts/src/lib.rs,103,Global process-local counter is available for artifact IDs,static GENERATED_ARTIFACT_COUNTER: AtomicU64 = AtomicU64::new(1);,"Process-local sequential IDs are not stable across process restarts, replays, parallelization, or different call ordering.",Generate the same run twice with changed branch order and compare receipt IDs; they can diverge without semantic difference.,"Restrict process-local IDs to UI/display-only types; require material-derived IDs for all receipts, manifests, state transitions, and operator invocations.",High
AIDENS-HA-20260508-0009,P0,Critical,REPLAY-IDENTITY,AiDENs/crates/aidens-contracts/src/lib.rs,117,Non-replay `generated_artifact_id` is public and easy to misuse,pub fn generated_artifact_id(prefix: &str) -> ArtifactId {,"The comments warn callers to use material IDs for replay equality, but the unsafe helper remains broadly exported.",Search for `generated_artifact_id(` outside tests; many material-looking paths use it.,"Rename to `display_only_unstable_id`, move behind a feature or private module, and add clippy/grep gate banning it in receipt/artifact paths.",High
AIDENS-HA-20260508-0010,P0,Critical,WORKSPACE-PORTABILITY,AiDENs/Cargo.toml,,Nested AiDENs workspace depends on sibling crates outside AiDENs directory,"Cargo.toml uses path deps like `../assurance-runtime`, `../semantic-memory`, and other sibling library crates.","Copying only AiDENs to a new folder breaks the workspace; package portability depends on an archive-root layout, not the AiDENs folder alone.",Extract only `AiDENs/` and run cargo metadata; expect path dependency failures.,"Add a workspace-layout preflight and a README that says the package root is Libraries, not AiDENs alone; optionally vendor/path-map deps for standalone mode.",High
AIDENS-HA-20260508-0011,P0,High,DEFAULTS,AiDENs/crates/aidens-runner/src/lib.rs,90,PlanActVerifyLoop defaults canonical receipt logging to None,"canonical_receipt_log_config: None,",Default run object starts without durable receipt logging and later synthesizes defaults only inside execution paths.,Instantiate loop and call failure paths before receipt log initialization; confirm whether durable control receipts are missing.,Require explicit receipt sink construction at loop creation or make construction fallible without one.,High
AIDENS-HA-20260508-0012,P0,High,PACKAGE-INTEGRITY,AiDENs-aidens-next-codex-context-20260508.report.md,,Zip certifier passed packaging validation but did not prove semantic/build correctness,"Report says strict=True, 1,611 files, 0 validation findings, but this only validates packaging policy.",A “0 findings” package report can lull Codex or auditors into treating the archive as correct when it is only packaging-clean.,Delete a required Rust type or break Cargo.toml and confirm whether source certifier catches semantic failure; it should not be the sole gate.,"Separate package-certification, build-certification, conformance-certification, and release-certification receipts.",High
AIDENS-HA-20260508-0013,P0,High,PACKAGE-INTEGRITY,AiDENs-aidens-next-codex-context-20260508.report.md,,"Archive hash is explicitly zip-byte hash, not canonical content identity",Report labels archive hash semantics as `zip-byte-sha256-not-canonical-content-hash`.,Byte-level zip hash is not stable across zip metadata/order; it is weak as a reproducibility identity anchor.,Repackage identical content with different zip metadata and compare archive hash vs content manifest.,Promote content-manifest digests and per-file digests as canonical; treat zip byte hash as transport-only.,High
AIDENS-HA-20260508-0014,P0,High,REPLAY-IDENTITY,AiDENs/crates/aidens-tool-kit/src/lib.rs,361,Tool exposure set has a constant artifact ID,"exposure_id: ArtifactId::new(""tool-exposure""),",ToolExposureSetV1 exposure_id is always `tool-exposure`.,Create two different exposure sets in the same run and see if IDs collide in receipts or manifests.,"Derive exposure_id from sorted tool IDs, policy refs, permit refs, route, turn id, and scope digest.",High
AIDENS-HA-20260508-0015,P0,High,VERIFICATION-SEMANTICS,AiDENs/crates/aidens-runner/src/lib.rs,1149,Advisory-only checks can be represented as succeeded verification attempts,"governance_stack::VerificationAttemptState::Succeeded,",Runner emits VerificationAttemptState::Succeeded with CheckMethod::AdvisoryOnly in final/control records.,Ask the system to promote a result with only advisory checks and inspect whether it looks verified.,Use a distinct `AdvisoryObserved` or `NotVerified` state; reserve Succeeded for proof-profile satisfaction.,High
AIDENS-HA-20260508-0016,P1,High,COMMAND-SANDBOX,AiDENs/crates/aidens-tool-kit/src/lib.rs,1454,Command runner clears env then re-injects ambient PATH/CARGO_HOME/RUSTUP_HOME,".env(""PATH"", std::env::var(""PATH"").unwrap_or_default())",run_command_with_timeout inherits host PATH and toolchain dirs without freezing their digests.,Prepend a malicious cargo in PATH and confirm whitelist still executes the injected binary.,Resolve absolute tool paths under a trusted toolchain manifest and record tool binary digests in receipts.,High
AIDENS-HA-20260508-0017,P1,High,COMMAND-SANDBOX,AiDENs/crates/aidens-tool-kit/src/lib.rs,1476,Timeout kills only the immediate child process,let _ = child.kill();,Command timeout calls child.kill() and then wait_with_output(); no process group/session termination is visible.,Run a permitted command wrapper that spawns a long-lived grandchild; verify it survives timeout.,Run commands in a process group/job object and terminate the entire tree on timeout.,High
AIDENS-HA-20260508-0018,P1,High,DEFAULTS,AiDENs/crates/aidens-runner/src/lib.rs,93,Default receipt level is Minimal,"receipt_level: ReportLevelV1::Minimal,",The default favors thin evidence in the very runner that should prove execution-as-evidence.,Run a hostile provider/tool failure and inspect whether enough fields exist to replay route/budget/repair decisions.,Default to conformance/report-rich mode in dev/release gates; allow Minimal only with explicit policy receipt.,High
AIDENS-HA-20260508-0019,P1,High,DOC-DRIFT,AiDENs/crates/aidens-cli/src/package.rs,78,Completion audit report hardcodes stale source basis,"""libraries-source-clean-20260426.zip"",","The package dated 2026-05-08 can emit audit metadata referring to 2026-04-26 source basis, weakening provenance.",Run the package/completion audit command and inspect source_basis fields.,"Derive source basis from current manifest/package metadata, not a hardcoded old archive name.",High
AIDENS-HA-20260508-0020,P1,High,FAILURE-EVIDENCE,AiDENs/crates/aidens-runner/src/lib.rs,1435,Failure control records can vanish when canonical receipts are absent,return Ok(Vec::new());,failure_control_records returns Ok(Vec::new()) if no canonical_receipts config exists.,Run provider-unavailable path with receipt log disabled and inspect missing durable failure evidence.,Require failure evidence sink or emit an in-memory report explicitly marked non-durable/degraded.,High
AIDENS-HA-20260508-0021,P1,High,GATE-DRIFT,AiDENs/schemas/artifact_envelope.schema.json,,Referenced/expected gate artifact is absent: schemas/artifact_envelope.schema.json,Path `schemas/artifact_envelope.schema.json` is missing in the extracted package.,A Codex pass can claim gate coverage while the historical or schema gate expected by docs/scripts is unavailable.,Run `test -e schemas/artifact_envelope.schema.json` in the package root; it fails.,Either remove stale references or include the missing artifact with an active owner and acceptance test.,High
AIDENS-HA-20260508-0022,P1,High,GATE-DRIFT,AiDENs/scripts/p24_verify.sh,,Referenced/expected gate artifact is absent: scripts/p24_verify.sh,Path `scripts/p24_verify.sh` is missing in the extracted package.,A Codex pass can claim gate coverage while the historical or schema gate expected by docs/scripts is unavailable.,Run `test -e scripts/p24_verify.sh` in the package root; it fails.,Either remove stale references or include the missing artifact with an active owner and acceptance test.,High
AIDENS-HA-20260508-0023,P1,High,GATE-DRIFT,AiDENs/scripts/p25_verify.sh,,Referenced/expected gate artifact is absent: scripts/p25_verify.sh,Path `scripts/p25_verify.sh` is missing in the extracted package.,A Codex pass can claim gate coverage while the historical or schema gate expected by docs/scripts is unavailable.,Run `test -e scripts/p25_verify.sh` in the package root; it fails.,Either remove stale references or include the missing artifact with an active owner and acceptance test.,High
AIDENS-HA-20260508-0024,P1,High,GATE-DRIFT,AiDENs/scripts/p26_verify.sh,,Referenced/expected gate artifact is absent: scripts/p26_verify.sh,Path `scripts/p26_verify.sh` is missing in the extracted package.,A Codex pass can claim gate coverage while the historical or schema gate expected by docs/scripts is unavailable.,Run `test -e scripts/p26_verify.sh` in the package root; it fails.,Either remove stale references or include the missing artifact with an active owner and acceptance test.,High
AIDENS-HA-20260508-0025,P1,High,GATE-DRIFT,AiDENs/scripts/p27_verify.sh,,Referenced/expected gate artifact is absent: scripts/p27_verify.sh,Path `scripts/p27_verify.sh` is missing in the extracted package.,A Codex pass can claim gate coverage while the historical or schema gate expected by docs/scripts is unavailable.,Run `test -e scripts/p27_verify.sh` in the package root; it fails.,Either remove stale references or include the missing artifact with an active owner and acceptance test.,High
AIDENS-HA-20260508-0026,P1,High,GATE-DRIFT,AiDENs/scripts/p28_verify.sh,,Referenced/expected gate artifact is absent: scripts/p28_verify.sh,Path `scripts/p28_verify.sh` is missing in the extracted package.,A Codex pass can claim gate coverage while the historical or schema gate expected by docs/scripts is unavailable.,Run `test -e scripts/p28_verify.sh` in the package root; it fails.,Either remove stale references or include the missing artifact with an active owner and acceptance test.,High
AIDENS-HA-20260508-0027,P1,High,GATE-DRIFT,AiDENs/scripts/verify.sh,,Current verifier exists but does not replace missing historical phase gates by itself,"scripts/verify.sh exists, while P24-P28 specific verify scripts are absent and P29-specific scripts exist.",A single current verifier can hide whether earlier invariants remain explicitly checked or were silently retired.,Trace every old phase gate to current replacement tests and produce a supersession matrix.,Add a gate-supersession manifest: old gate -> new gate(s) -> proof command -> owner.,High
AIDENS-HA-20260508-0028,P1,High,PACKAGE-HYGIENE,AiDENs-aidens-next-codex-context-20260508.manifest.json,,Root markdown archive is disabled while 134 ambiguous root markdown files remain,"Manifest root_markdown_archive: enabled=false, inspected=154, ambiguous=134, candidate_count=15, moved=0.",Codex receives many old/current-looking documents with ambiguous authority; this is context-rot bait with a tuxedo.,Ask Codex to infer current run instructions from root docs and see whether stale P24-P28 documents leak into the plan.,Enable archive/normalization or generate an active-doc manifest that hard-fails on unclassified root markdown.,High
