BugRange,Category,PrimaryPhase,Disposition
BUG-001..010,HNSW integrity/concurrency,05,"fix if in local-release path, otherwise quarantine"
BUG-011..020,SQLite/database layer,06,"fix if in local-release path, otherwise quarantine"
BUG-021..030,Search/ranking,07,"fix if in local-release path, otherwise quarantine"
BUG-031..034,Quantization/vector,08,"fix if in local-release path, otherwise quarantine"
BUG-035..042,Pool/concurrency/drop,09,"fix if in local-release path, otherwise quarantine"
BUG-043..052,Graph/chunker,10,"fix if in local-release path, otherwise quarantine"
BUG-053..059,knowledge-runtime classifier/merge,07/10,"fix if in local-release path, otherwise quarantine"
BUG-060..065,stack-ids/TraceCtx,11,"fix if in local-release path, otherwise quarantine"
BUG-066..071,AiDENs contracts v11A,11/12,"fix if in local-release path, otherwise quarantine"
BUG-072..075,living-memory baseline,11,"fix if in local-release path, otherwise quarantine"
BUG-076..085,Migration/config,06,"fix if in local-release path, otherwise quarantine"
BUG-086..100,Misc logic,10,"fix if in local-release path, otherwise quarantine"
BUG-101..150,Medium cross-cutting,08/09/11,"fix if in local-release path, otherwise quarantine"
BUG-151..180,Low/code quality,10/15,"fix if in local-release path, otherwise quarantine"
BUG-181..189,Additional high issues,09,"fix if in local-release path, otherwise quarantine"
BUG-190..200,Unaudited high-risk surfaces,04/quarantine,"fix if in local-release path, otherwise quarantine"
