family,version,rust_type,wire_type_name
admission-decision,1,AdmissionDecisionV1,AdmissionDecisionV1
api-honesty-receipt,1,ApiHonestyReportV1,ApiHonestyReportV1
approval-decision,1,ApprovalDecisionV1,ApprovalDecisionV1
approval-request,1,ApprovalRequestV1,ApprovalRequestV1
artifact-family-registry,1,ArtifactFamilyRegistryV1,ArtifactFamilyRegistryV1
attestation-envelope,1,AttestationEnvelopeV1,AttestationEnvelopeV1
backfill-receipt,1,BackfillReportV1,BackfillReportV1
boundary-compile-outcome,1,BoundaryCompileOutcomeV1,BoundaryCompileOutcomeV1
boundary-compile-request,1,BoundaryCompileRequestV1,BoundaryCompileRequestV1
budget-exhaustion-receipt,1,BudgetExhaustionReportV1,BudgetExhaustionReportV1
display-digest,1,DisplayDigestV1,DisplayDigestV1
capability-gate-decision,1,CapabilityGateDecisionV1,CapabilityGateDecisionV1
config-apply-receipt,1,ConfigApplyReportV1,ConfigApplyReportV1
codex-packet,1,CodexPacketV1,CodexPacketV1
command-run-receipt,1,CommandRunReportV1,CommandRunReportV1
completion-audit-report,1,CompletionAuditReportV1,CompletionAuditReportV1
compiled-region-graph,1,CompiledRegionGraphV1,CompiledRegionGraphV1
convergence-report,1,ConvergenceReportV1,ConvergenceReportV1
compaction-report,1,CompactionReportV1,CompactionReportV1
differential-conformance-finding,1,DifferentialConformanceFindingV1,DifferentialConformanceFindingV1
degradation-event,1,DegradationEventV1,DegradationEventV1
example-app-manifest,1,ExampleAppManifestV1,ExampleAppManifestV1
duplicate-key-finding,1,DuplicateKeyFindingV1,DuplicateKeyFindingV1
fit-run-report,1,FitRunReportV1,FitRunReportV1
execution-context,1,AidensRunContextV1,AidensRunContextV1
execution-lineage-graph,1,ExecutionLineageGraphV1,ExecutionLineageGraphV1
cross-pass-traceability-matrix,1,CrossPassTraceabilityMatrixV1,CrossPassTraceabilityMatrixV1
fake-ready-finding,1,FakeReadyFindingV1,FakeReadyFindingV1
generated-schema-manifest,1,GeneratedSchemaManifestV1,GeneratedSchemaManifestV1
golden-fixture-manifest,1,GoldenFixtureManifestV1,GoldenFixtureManifestV1
history-preservation-report,1,HistoryPreservationReportV1,HistoryPreservationReportV1
hypothesis-library,1,HypothesisLibraryV1,HypothesisLibraryV1
install-smoke-report,1,InstallSmokeReportV1,InstallSmokeReportV1
invariant-budget,1,InvariantBudgetV1,InvariantBudgetV1
invariance-report,1,InvarianceReportV1,InvarianceReportV1
kernel-run-report,1,KernelRunDisplayReportV1,KernelRunDisplayReportV1
known-limitations-register,1,KnownLimitationsRegisterV1,KnownLimitationsRegisterV1
json-repair-receipt,2,JsonRepairReportV2,JsonRepairReportV2
job,1,JobV1,JobV1
queue-lease,1,QueueLeaseV1,QueueLeaseV1
daemon-namespace,1,DaemonNamespaceV1,DaemonNamespaceV1
duplicate-suppression-receipt,1,DuplicateSuppressionReportV1,DuplicateSuppressionReportV1
migration-plan,1,MigrationPlanV1,MigrationPlanV1
mechanism-report,1,MechanismReportV1,MechanismReportV1
patch-apply-receipt,1,PatchApplyReportV1,PatchApplyReportV1
operator-status-report,1,OperatorStatusReportV1,OperatorStatusReportV1
oracle-slice-request,1,OracleSliceRequestV1,OracleSliceRequestV1
patch-proposal,1,PatchProposalV1,PatchProposalV1
permit-grant,1,PermitGrantV1,PermitGrantV1
permit-use-receipt,1,PermitUseReportV1,PermitUseReportV1
plan-runtime-parity-report,1,PlanRuntimeParityReportV1,PlanRuntimeParityReportV1
poison-receipt-record,1,PoisonReportEntryV1,PoisonReportEntryV1
projection-digest,1,ProjectionDigestV1,ProjectionDigestV1
remote-oracle-report,1,RemoteOracleReportV1,RemoteOracleReportV1
queue-hop-receipt,1,QueueHopReportV1,QueueHopReportV1
removal-frontier,1,RemovalFrontierV1,RemovalFrontierV1
query-widening-receipt,1,QueryWideningReportV1,QueryWideningReportV1
provider-backend-matrix,1,ProviderBackendMatrixV1,ProviderBackendMatrixV1
provider-certification-fixture,1,ProviderCertificationFixtureV1,ProviderCertificationFixtureV1
provider-readiness-receipt,1,ProviderReadinessReportV1,ProviderReadinessReportV1
provider-route-receipt,2,ProviderRouteReportV2,ProviderRouteReportV2
reference-case,1,ReferenceCaseV1,ReferenceCaseV1
reference-interpreter-report,1,ReferenceInterpreterReportV1,ReferenceInterpreterReportV1
release-readiness-report,1,ReleaseReadinessReportV1,ReleaseReadinessReportV1
release-artifact-manifest,1,ReleaseArtifactManifestV1,ReleaseArtifactManifestV1
regression-debt-ledger,1,RegressionDebtLedgerV1,RegressionDebtLedgerV1
retrieval-policy,1,RetrievalPolicyV1,RetrievalPolicyV1
simulator-contract,1,SimulatorContractV1,SimulatorContractV1
region-contract,1,RegionContractV1,RegionContractV1
residual,1,ResidualV1,ResidualV1
repo-list-receipt,1,RepoListReportV1,RepoListReportV1
repo-read-receipt,1,RepoReadReportV1,RepoReadReportV1
run-receipt,1,RunReportV1,RunReportV1
runtime-view-request,1,RuntimeViewRequestV1,RuntimeViewRequestV1
scaffold-surface-report,1,ScaffoldSurfaceReportV1,ScaffoldSurfaceReportV1
schema-compatibility-report,1,SchemaCompatibilityReportV1,SchemaCompatibilityReportV1
sandbox-capability-truth,1,SandboxCapabilityTruthV1,SandboxCapabilityTruthV1
safe-mode-receipt,1,SafeModeReportV1,SafeModeReportV1
schedule-occurrence,1,ScheduleOccurrenceV1,ScheduleOccurrenceV1
schema-validation-receipt,1,SchemaValidationReportV1,SchemaValidationReportV1
settlement-case,1,SettlementCaseV1,SettlementCaseV1
shared-disposition,1,SharedDispositionV1,SharedDispositionV1
theory-refuter-suite,1,TheoryRefuterSuiteV1,TheoryRefuterSuiteV1
theory-version,1,TheoryVersionV1,TheoryVersionV1
syndrome,1,SyndromeV1,SyndromeV1
view-disclosure-receipt,1,ViewDisclosureReportV1,ViewDisclosureReportV1
source-basis-lock,1,SourceBasisLockV1,SourceBasisLockV1
subtraction-plan,1,SubtractionPlanV1,SubtractionPlanV1
stop-rule-receipt,1,StopRuleReportV1,StopRuleReportV1
support-core,1,SupportCoreV1,SupportCoreV1
super-pass-status,1,SuperPassStatusV1,SuperPassStatusV1
tool-call-request,1,ToolCallRequestV1,ToolCallRequestV1
tool-call-result,1,ToolCallResultV1,ToolCallResultV1
tool-exposure-plan,2,ToolExposurePlanV1,ToolExposurePlanV2
tool-invocation-receipt,1,ToolInvocationReportV1,ToolInvocationReportV1
treaty,1,TreatyV1,TreatyV1
turn-execution-plan,1,TurnExecutionPlanV1,TurnExecutionPlanV1
turn-receipt,1,TurnReportV1,TurnReportV1
trust-root,1,TrustRootV1,TrustRootV1
wake-signal,1,WakeSignalV1,WakeSignalV1
