p30_id,source_issue_id,phase,priority,severity,category,gate,path,title,disposition,owner,blocker,next_pass_target,evidence
P30-ABSORB-0001,AIDENS-HA-20260508-0001,P30-00,P0,Critical,BUILD-CERTIFICATION,must-fix,<audit environment>,No cargo/rustc execution was possible in this audit environment,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0002,AIDENS-HA-20260508-0002,P30-01,P0,Critical,PARSER-BOUNDARY,must-fix,AiDENs/crates/aidens-runner/src/provider_tool.rs,Malformed tool-call entries are silently discarded,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0003,AIDENS-HA-20260508-0003,P30-01,P0,Critical,PARSER-BOUNDARY,must-fix,AiDENs/crates/aidens-runner/src/provider_tool.rs,Tool-result serialization failure silently becomes an empty message,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0004,AIDENS-HA-20260508-0004,P30-01,P0,Critical,PARSER-BOUNDARY,must-fix,AiDENs/crates/aidens-runner/src/provider_tool.rs,Successful parser repair drops degradation reason codes from returned result,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0005,AIDENS-HA-20260508-0005,P30-01,P0,Critical,PARSER-BOUNDARY,must-fix,AiDENs/crates/aidens-runner/src/provider_tool.rs,Parser fallback uses permissive degraded JSON repair in the tool-call path,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0006,AIDENS-HA-20260508-0006,P30-02,P0,Critical,PATCH-SAFETY,must-fix,AiDENs/crates/aidens-tool-kit/src/lib.rs,Patch apply treats unreadable/missing files as empty input,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0007,AIDENS-HA-20260508-0007,P30-02,P0,Critical,PATCH-SAFETY,must-fix,AiDENs/crates/aidens-tool-kit/src/lib.rs,Rollback write errors are ignored,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0008,AIDENS-HA-20260508-0008,P30-03,P0,Critical,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/lib.rs,Global process-local counter is available for artifact IDs,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0009,AIDENS-HA-20260508-0009,P30-03,P0,Critical,REPLAY-IDENTITY,must-fix,AiDENs/crates/aidens-contracts/src/lib.rs,Non-replay `generated_artifact_id` is public and easy to misuse,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0010,AIDENS-HA-20260508-0010,P30-00,P0,Critical,WORKSPACE-PORTABILITY,must-fix,AiDENs/Cargo.toml,Nested AiDENs workspace depends on sibling crates outside AiDENs directory,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0011,AIDENS-HA-20260508-0011,P30-04,P0,High,DEFAULTS,must-fix,AiDENs/crates/aidens-runner/src/lib.rs,PlanActVerifyLoop defaults canonical receipt logging to None,fixed,P30,,,code diff; cargo check/test/clippy/doc logs; scripts/verify.sh; p30_guard hard=0
P30-ABSORB-0012,AIDENS-HA-20260508-0012,P30-00,P0,High,PACKAGE-INTEGRITY,must-fix,AiDENs-aidens-next-codex-context-20260508.report.md,Zip certifier passed packaging validation but did not prove semantic/build correctness,quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
P30-ABSORB-0013,AIDENS-HA-20260508-0013,P30-00,P0,High,PACKAGE-INTEGRITY,must-fix,AiDENs-aidens-next-codex-context-20260508.report.md,"Archive hash is explicitly zip-byte hash, not canonical content identity",quarantined,P31 hardening owner,Requires broader architectural or historical gate restoration outside this focused runtime pass.,P31 targeted closure for this row before any release-certified claim.,handoffs/p30/UNRESOLVED_RISK_LEDGER.md; handoffs/p30/V11B_CONFORMANCE_DEBT_LEDGER.md
