name,version,path,description,loc_rs,rs_files,tests_attr,examples,benches,readme_lines,readme_has_visual_signal,reverse_deps,tags
verification-control,0.1.0,/home/sikmindz/Coding/Libraries/verification-control,"""Canonical verification control-plane case, plan, receipt, and ledger artifacts""",3493,7,19,0,0,38,False,contract-schema-gen;forge-pilot;kernel-conformance;verification-adjudication;verification-calibration;verification-policy,memory;receipt;verification;policy;llm;tool;kernel;oracle;effect;attestation;contract;schema
llm-tool-runtime,0.1.0,/home/sikmindz/Coding/Libraries/llm-tool-runtime,"""Provider-agnostic tool contracts, registry, dispatch, and receipt plumbing for llm-pipeline""",4552,10,66,0,0,37,False,forge-engine;forge-pilot;llm-pipeline;verification-control;verification-policy,memory;receipt;verification;policy;llm;tool;queue;effect;patch;contract;forge
verification-policy,0.1.0,/home/sikmindz/Coding/Libraries/verification-policy,"""Canonical verification policy and approval artifacts""",2657,12,22,0,0,36,False,contract-schema-gen;forge-pilot;kernel-conformance;profile-runtime;verification-adjudication,receipt;verification;policy;llm;tool;kernel;effect;profile;attestation;delegation;contract;schema
forge-policy,0.1.0,/home/sikmindz/Coding/Libraries/Primitives/forge-policy,"""Workspace and database safety policy primitives for forge-engine""",445,2,7,0,0,22,False,cea-sqlite;check-runner;forge-engine;sandbox-workspace;typed-patch,policy;agent;tool;patch;contract;schema;sqlite;forge
check-runner,0.1.0,/home/sikmindz/Coding/Libraries/Primitives/check-runner,"""Execution backend and check normalization primitives for forge-engine""",857,1,12,0,0,22,False,cea-core;cea-sqlite;cea-store;forge-engine,memory;verification;policy;agent;tool;effect;signature;sandbox;patch;contract;forge
attestation-exchange,0.1.0,/home/sikmindz/Coding/Libraries/attestation-exchange,"""Typed attestation exchange contracts for envelope, trust-root, and transparency artifacts""",821,6,8,0,0,38,False,contract-schema-gen;forge-pilot;profile-runtime;remote-oracle-admission,receipt;policy;oracle;profile;governance;attestation;contract;schema;forge;remote;admission
verification-calibration,0.1.0,/home/sikmindz/Coding/Libraries/verification-calibration,"""Canonical verification calibration and abstention artifacts""",354,2,10,0,0,32,False,contract-schema-gen;forge-pilot;kernel-conformance;verification-adjudication,verification;kernel;oracle;contract;schema;forge
forge-engine,0.2.0,/home/sikmindz/Coding/Libraries/living-memory/living-memory,"""Causal edit attribution and structured patch evaluation engine""",16099,56,181,0,0,39,False,forge-pilot;kernel-conformance;llm-pipeline,memory;claim;verification;policy;llm;tool;kernel;patch;cea;forge
cea-core,0.1.0,/home/sikmindz/Coding/Libraries/Primitives/cea-core,,2444,9,11,0,0,22,False,cea-sqlite;cea-store;forge-engine,agent;tool;effect;signature;contract;schema;cea
verification-adjudication,0.1.0,/home/sikmindz/Coding/Libraries/verification-adjudication,"""Canonical verification disposition, promotion, refutation, and rollback decisions""",1381,6,10,0,0,35,False,contract-schema-gen;forge-pilot;kernel-conformance,receipt;verification;policy;kernel;effect;contract;schema;forge
continuity-runtime,0.1.0,/home/sikmindz/Coding/Libraries/continuity-runtime,"""Typed continuity and incident surface crate with bounded recovery profiles; not an incident-command runtime""",1244,13,12,0,0,37,False,contract-schema-gen;forge-pilot;profile-runtime,memory;verification;policy;profile;governance;contract;schema;forge;continuity
assurance-runtime,0.1.0,/home/sikmindz/Coding/Libraries/assurance-runtime,"""Typed deployability and certification surface crate with bounded readiness profiles; not an orchestration runtime""",1184,15,21,0,0,37,False,contract-schema-gen;forge-pilot;profile-runtime,profile;governance;contract;schema;forge
typed-patch,0.1.0,/home/sikmindz/Coding/Libraries/Primitives/typed-patch,"""Structured patch schema plus validation and apply helpers""",987,2,6,0,0,22,False,cea-core;forge-engine;stabilizer-core,policy;agent;tool;patch;contract;schema;forge
authority-delegation,0.1.0,/home/sikmindz/Coding/Libraries/authority-delegation,"""Typed delegated-authority surface crate with bounded lease and policy artifacts; not an access-control runtime""",925,11,10,0,0,37,False,contract-schema-gen;forge-pilot;profile-runtime,receipt;policy;profile;governance;delegation;contract;schema;forge
constitutional-memory,0.1.0,/home/sikmindz/Coding/Libraries/constitutional-memory,"""Typed charter and archive surface crate with bounded amendment checks; not a hidden governance runtime""",662,5,10,0,0,42,False,contract-schema-gen;forge-pilot;kernel-conformance,memory;receipt;verification;kernel;governance;contract;schema;forge;constitutional
mechanism-runtime,0.1.0,/home/sikmindz/Coding/Libraries/mechanism-runtime,"""Typed mechanism/theory surface crate with bounded fit and refuter evaluators; not a standalone runtime""",623,5,10,0,0,41,False,contract-schema-gen;forge-pilot;kernel-conformance,memory;verification;kernel;governance;contract;schema;forge;mechanism
sandbox-workspace,0.1.0,/home/sikmindz/Coding/Libraries/Primitives/sandbox-workspace,"""Workspace sandboxing and patch filesystem primitives""",386,2,11,0,0,22,False,check-runner;forge-engine;typed-patch,policy;agent;tool;sandbox;patch;contract;forge
forge-pilot,0.1.0,/home/sikmindz/Coding/Libraries/forge-pilot,"""Closed-loop orchestrator over runtime advisories, kernel oracles, and canonical Forge export/import lanes""",14447,78,78,0,0,46,False,contract-schema-gen;kernel-conformance,memory;claim;verification;policy;kernel;oracle;effect;governance;attestation;delegation;patch;contract
effect-runtime,0.1.0,/home/sikmindz/Coding/Libraries/effect-runtime,,2656,12,12,0,0,39,False,contract-schema-gen;forge-pilot,memory;receipt;verification;effect;governance;contract;schema;forge
spec-execution,0.1.0,/home/sikmindz/Coding/Libraries/spec-execution,"""Typed spec and proof surface crate with bounded generated-artifact evaluators; not a compiler runtime""",729,4,10,0,0,42,False,contract-schema-gen;kernel-conformance,claim;receipt;kernel;governance;contract;schema;admission;constitutional
discovery-portfolio,0.1.0,/home/sikmindz/Coding/Libraries/discovery-portfolio,"""Typed discovery portfolio surface crate with bounded budget and selection evaluators; not a scheduler runtime""",660,5,10,0,0,40,False,contract-schema-gen;kernel-conformance,verification;kernel;contract;schema
cea-store,0.1.0,/home/sikmindz/Coding/Libraries/Primitives/cea-store,"""Storage contract and row types for causal edit attribution graphs""",657,1,5,0,0,22,False,cea-sqlite;forge-engine,policy;agent;tool;effect;contract;sqlite;cea
federated-settlement,0.1.0,/home/sikmindz/Coding/Libraries/federated-settlement,"""Typed treaty and settlement surface crate with bounded shared-view evaluators; not a network runtime""",624,5,7,0,0,40,False,contract-schema-gen;kernel-conformance,receipt;kernel;effect;profile;contract;schema;settlement;admission
effect-signature,0.1.0,/home/sikmindz/Coding/Libraries/Primitives/effect-signature,"""Stable check effect signature types and hashing helpers""",132,1,5,0,0,22,False,check-runner;forge-engine,verification;policy;agent;tool;effect;signature;contract;schema;forge
profile-runtime,0.1.0,/home/sikmindz/Coding/Libraries/profile-runtime,"""Canonical effective constitution and profile composition runtime for the local-first AI systems stack""",4255,13,17,0,0,40,False,contract-schema-gen,receipt;verification;policy;effect;profile;attestation;delegation;contract;schema;constitutional;continuity
receipt-bench,0.1.0,/home/sikmindz/Coding/Libraries/receipt-bench,"""Replayable benchmark substrate for semantic search, compression, and memory operations""",2075,7,27,0,0,27,False,hnsw-bench,memory;receipt;kernel
cea-sqlite,0.1.0,/home/sikmindz/Coding/Libraries/Primitives/cea-sqlite,"""SQLite implementation of the cea-store contract""",1219,1,10,0,0,24,False,forge-engine,claim;agent;tool;effect;contract;schema;sqlite;cea;forge
remote-oracle-admission,0.1.0,/home/sikmindz/Coding/Libraries/remote-oracle-admission,"""Typed remote oracle admission contracts for lease, result, replay, and re-admission artifacts""",713,3,6,0,0,28,False,contract-schema-gen,receipt;oracle;effect;profile;attestation;contract;schema;remote;admission
stabilizer-core,0.1.0,/home/sikmindz/Coding/Libraries/Primitives/stabilizer-core,"""Bounded attempt-phase and delta policy primitives for forge-engine""",487,1,6,0,0,22,False,forge-engine,policy;agent;tool;patch;contract;forge;stabilizer
mindstate-core,0.1.0,/home/sikmindz/Coding/Libraries/Primitives/mindstate-core,"""Serializable mindstate payload types for forge-engine""",285,1,7,0,0,22,False,forge-engine,agent;tool;contract;forge
check-runner-sys,0.1.0,/home/sikmindz/Coding/Libraries/Primitives/check-runner-sys,"""Unsafe syscall wrappers for check-runner process-group operations""",42,1,0,0,0,0,False,check-runner,mechanism
kernel-conformance,0.1.0,/home/sikmindz/Coding/Libraries/kernel-conformance,"""Conformance harness for recursive inference kernel authority, compiler, and oracle gates""",3564,9,67,1,0,38,False,,memory;claim;verification;policy;batch;kernel;oracle;temporal;effect;forge;settlement;mechanism
ai-batch-queue,0.2.0,/home/sikmindz/Coding/Libraries/ai-batch-queue,"""Model-aware batch processing queue with ETA estimation for Tauri applications""",2788,9,56,3,0,27,False,,policy;queue;batch;tauri
comfyui-rs,0.2.0,/home/sikmindz/Coding/Libraries/comfyui-rs,"""Async Rust client for ComfyUI — REST, WebSocket progress, and workflow building""",1757,8,23,3,0,23,False,,queue;comfy
tauri-queue,0.3.0,/home/sikmindz/Coding/Libraries/tauri-queue,"""Tauri integration for job-queue background job processing""",1503,7,33,4,0,22,False,,queue;tauri
contract-schema-gen,0.1.0,/home/sikmindz/Coding/Libraries/contract-schema-gen,,1226,4,11,0,0,44,False,,memory;verification;policy;batch;kernel;oracle;effect;profile;attestation;delegation;contract;schema
ollama-vision,0.2.0,/home/sikmindz/Coding/Libraries/ollama-vision,"""Robust Ollama vision model toolkit for image tagging and captioning""",769,9,6,3,0,22,False,,llm;tool;ollama;vision
hnsw-bench,0.1.0,/home/sikmindz/Coding/Libraries/hnsw-bench,"""HNSW backend benchmark: hnsw_rs 0.3 vs usearch 2.25. Generates a receipt-bench receipt.""",457,1,0,0,0,31,False,,memory;claim;receipt;batch;signature;hnsw
agent-guard,0.1.0,/home/sikmindz/Coding/Libraries/agent-guard,,298,4,4,0,0,0,False,,receipt;agent;sandbox;mechanism
